id,saleprice
2658,91625.2142805529
2718,169657.1103290921
2414,216599.85816918686
1989,111390.82194346304
625,170576.61487036405
333,95378.85102726816
1327,117253.17005314253
858,148844.49999874845
95,192871.67496102164
1568,168910.57650983142
2482,159169.0988533725
1364,131841.10623324208
2584,134555.20956195958
818,262563.1023104182
2673,159059.67405858985
2089,126616.56345554267
1297,171828.7549570709
790,121485.80955029509
2616,202889.04463840916
720,171583.37140971716
222,151072.61857756035
557,135903.87966128244
1148,196947.09472442674
2766,172156.66338859499
534,180473.6544008638
1452,124210.57157697066
630,132248.61167543085
2648,103699.81526672714
125,158920.42018428366
1904,76287.56819715345
1670,117594.59004966522
756,110025.45126289428
717,140826.4180909395
1032,161395.82210878326
852,209677.75945744826
1731,179767.75109083814
2639,89457.6401219672
2071,89386.36055494689
1267,131158.42445230734
1851,194019.588328051
567,178121.19433689653
2439,204699.58684907304
1898,156662.16884386571
647,156709.63077213318
2256,208118.78953952066
979,100370.4163340243
1444,220557.9087039845
2485,126874.60350604633
157,136310.68651388222
88,131522.48182490998
2003,105748.42448374256
186,169865.9234940875
1425,238718.52078565303
2695,132622.85729401972
738,122732.77482065663
395,156161.27317011083
1353,171688.72335413552
1878,143291.7771715702
390,169766.07426019807
1456,230337.2979488815
1103,333397.4314627481
1387,141857.21873203028
2070,131789.25826603043
1199,175969.2717090249
2479,180894.57261256193
501,309082.5357673022
2362,113619.57955838964
1718,196508.56485415643
2188,103874.00754033185
1483,157610.54262721137
2557,113851.49207278668
437,390861.83271689666
2224,177688.47768946298
1628,174686.93751787103
397,138494.27463052992
587,191917.30686731834
971,128787.93985431317
2611,165185.72004470899
1887,106031.6381268335
2399,390485.31771848997
2148,198555.43909697077
304,122281.7971778699
1997,121208.56033537604
2817,115704.51807253456
1431,199008.51941555864
427,331883.4930981766
263,126379.07198785823
598,175451.27544386417
2895,222213.66217800637
687,142677.85461042385
1822,149941.9605920559
2191,113579.44571426747
179,126164.91110870926
1009,221899.48697988645
2010,161428.07879347831
1991,127858.95696969113
1411,149193.6979452698
1721,250760.54271371916
1144,188145.10836197555
593,217727.59577296607
575,318658.67024476116
1249,167619.43646110504
1604,131622.48430459728
1064,554741.9700933516
1923,152635.6660978566
1988,118854.04556673852
2325,179025.3138582514
114,208856.28086172487
2700,158633.50273532514
217,133239.7127461495
343,174678.48752144657
386,223016.1985408794
2005,120300.86746994116
2908,153263.27798514787
1814,236581.73234244285
2446,607484.0288004341
208,122715.87900197024
1679,113343.84148435596
822,332808.8976040526
6,192175.4733266179
1781,421632.38212691835
2397,290423.48206253845
2340,332031.2750318944
1618,176877.0547936393
2843,125738.59917168747
1061,391516.48865517206
2786,137387.3053661903
1935,140585.2920748844
1341,121136.58493297985
521,279930.17455515184
2136,140219.1887362112
996,205809.03298836126
227,155156.94109516204
135,180944.35159224615
1167,175082.80887031832
294,236767.02695149928
1776,196487.4345181438
540,163326.18528594534
1717,200017.13223709076
2303,131935.80579109883
116,175746.5547064387
127,145835.73679046103
1371,143897.78472168333
1014,152456.67416470664
1507,111638.55601737261
702,113572.13208516806
750,131436.98804059863
261,154142.95643497744
1559,62798.86742535635
577,221419.40588901797
2812,201281.8328781025
2080,156651.34912212644
1368,120117.30984665232
2376,134290.34348564153
659,99387.41859584366
1235,131572.54830977283
332,95423.67840760699
1917,147226.7379256787
2094,259853.80776967466
1460,246450.85004126656
1471,213818.76896559258
1509,139190.00366381908
1922,138699.9444572179
433,563669.5783996333
460,249693.46725934165
1116,239973.23624874212
1137,162353.30733756925
53,177090.57034813953
2354,273427.0172042244
1475,204557.44887926025
1761,766067.8783859778
842,152109.72547100802
2739,182124.82158059272
2509,167268.63033161292
1007,205936.8673240341
2610,168752.62183725895
1952,98244.97614137079
2719,173128.1258739201
2921,94564.41631689841
1966,149162.60739967783
292,114216.43674081244
1204,191444.64407089938
1829,242133.00870740088
2419,191416.28143733906
391,148178.7046826064
798,121590.9363465028
481,199656.0231596196
193,195610.83496896722
555,124732.85589397734
899,73073.7601333599
2357,177706.3785497537
328,115875.53486892403
1356,123199.1420385536
1154,115080.82659066147
1730,174716.80230627744
2249,155702.52384384736
1119,283156.51684304397
2856,141079.06572118547
1394,145236.1683813871
2587,120647.05386943235
61,295682.6072793631
2661,188678.91314716922
2711,142517.94542646135
1147,165642.74451436603
757,127728.60536033624
2623,115630.87287389231
2378,148969.68933206185
1413,143439.77214036835
1722,224402.8148090002
1112,210274.43317306502
1623,200741.67479034545
1201,191273.9450198473
1513,118045.86244040365
957,455492.79205015156
1171,276649.44666416483
1145,198850.22729782216
2726,216642.9646967737
703,145141.67416725913
760,90986.41385571344
1964,152455.40210061023
2512,193433.91996768396
159,147382.38958420203
1281,161301.02450609134
468,188366.02984762864
290,116306.77685556159
665,90782.47752134292
1463,257051.96713291627
1792,221662.2010375286
923,170865.37897122328
500,252050.5862957627
1408,177193.73345337814
331,101027.48048297722
170,104465.99996698536
2192,108665.17391638538
2571,345701.4410783459
2314,183025.2373198165
2647,96164.41650777285
422,498530.30709030543
2457,366965.33705327514
1838,208146.2824779013
2805,272935.54029784823
1645,148451.01806879023
1711,296788.2853470146
2825,246620.3021145396
322,336391.94222013024
2103,251699.59080068377
342,121115.92691841404
600,120940.80823084735
488,176742.41158695988
1725,310596.4655762169
2246,300467.2869045859
2847,155313.48086017967
806,241480.05605946126
530,237565.65430545597
963,192958.41964505432
2678,98876.42326211007
171,92647.93332288187
2401,450052.82024464005
805,224880.83318624133
2259,215409.6807199571
1748,184906.646453175
1361,135751.81288542438
1677,117069.84323086901
1406,149354.77357493792
2322,253658.49301203073
688,152827.03999395177
143,146068.82956589738
804,204035.64789602126
1214,166154.82072801178
2828,143349.53731939677
1999,171202.70381912368
2467,209936.94360336117
2665,133672.73170253332
1538,370639.00927812327
398,120860.18874394709
2822,145890.71785641406
2157,147155.4788447593
1856,179669.0469934202
1269,110883.86241736186
2570,124231.3092012214
2320,224695.61202515228
1517,111185.17875271852
2304,144370.921909201
1312,107224.94880213152
2012,146532.2074564227
506,237696.02889497406
2865,201732.83056827923
2367,102246.65699665582
554,75060.36623900426
238,131747.99665838463
1954,118899.7609830746
2488,129617.97837816569
2291,90444.28842117051
1969,122116.88022077823
2725,167866.41968750273
1482,153309.00790622632
2763,199058.2403347915
503,252029.12935978136
1584,251785.588402675
1531,153385.08151987224
2210,159700.95798828063
459,336086.43493109464
556,135373.08446894732
1347,124453.03615796691
1290,96219.88711885297
1388,120287.3883120207
1571,261241.44327780663
2754,203710.95143668458
765,121043.27973475013
2494,131849.5757023383
2870,229776.07837096875
7,228900.6674872299
1114,235072.77373009207
2418,276996.3675377225
291,101058.80528203031
18,394125.29991825967
39,395762.77657136036
1001,257505.53449810584
2442,224778.8745508752
616,136130.79606317214
2680,81615.44929773618
1414,122356.50889703273
289,156874.0008364151
40,250487.26305973495
860,130896.56085500261
409,141977.3799624002
673,159886.48336025828
2427,186964.10485475612
2036,201006.47049570348
2564,144138.42955497972
642,138149.6474921262
1008,185825.67869485897
1908,120966.94850118707
2519,212961.70162993806
1369,85459.04986633462
2855,182677.30610554674
712,100974.38665555108
1943,117831.76069414127
1958,124227.9758923714
107,168136.77886696518
2295,177578.28134932247
704,100927.80751766004
676,133952.2147498137
259,185834.43410151772
93,290535.8365753496
106,250452.4376435674
2315,180060.80214682952
1050,118898.56278285764
1095,202452.11325703055
2709,149605.6696113069
758,115959.50754906531
1496,156987.0902063838
2370,120686.58023113768
2458,282225.26278521016
2733,140521.16667079733
161,229938.36714086376
726,150431.75232363172
845,207806.1031570042
947,248253.02973218577
2232,104937.2899635821
2563,134918.86851627944
2299,124117.11872582302
211,84022.82579229436
605,141667.7466278685
1478,204120.7509439354
2247,285940.67615008645
2274,187787.90453478185
2869,219388.6932589009
967,216726.50452038928
2656,122994.64285154518
667,186924.3543847258
1042,116976.63891248185
2023,148705.84058946566
2447,412872.530042724
2055,144170.42082346743
2275,287905.3277385922
2204,182579.37872060452
1563,288781.393617997
483,187043.3919767764
796,134206.2734324816
1526,164542.896442761
2042,126260.2622539105
442,346093.9174634322
1693,329465.18140203605
1468,221891.75902329094
1430,191033.29002144735
2605,107086.06790179732
1529,207633.19397343614
335,135252.66773112703
1287,126949.19775743784
31,101407.66718641644
1785,301980.1475178469
82,148226.58605175224
2620,139582.92188358033
252,183407.39595264237
721,86499.47068555799
2165,182263.37849205747
2316,189531.98357108017
775,139031.1894070043
1558,95994.62803157356
17,221366.24134242756
1022,209734.69156297608
925,137307.4860282191
438,271679.11476550595
1270,136108.48281518384
1272,139883.80538355574
215,109162.38642802922
266,215229.85304345546
2402,286182.055642843
1250,124748.88542139383
1984,115331.3214735296
1279,157051.0818426052
377,243566.63853120126
1252,135925.68198168962
2156,263226.4954276974
499,316569.5216309595
1374,133868.22082850884
2898,281529.4587894601
401,125877.3837173034
2721,144278.10286388
2078,231319.05994255163
2589,123499.98177764569
1946,203681.53901199315
1334,117843.170630294
2781,220992.58294993575
431,415655.0284689578
576,201611.03849126454
1474,210155.415883501
2254,160192.05099347854
2155,288000.7372477791
885,106477.78127982767
643,142706.24168567557
1944,135446.1539895328
480,198232.61709212538
2845,84400.05263927723
2387,319593.6219089096
2407,204731.93975330566
2527,167206.56013598962
2514,166559.67084295346
629,139659.58493975448
80,180351.63460757895
1876,148973.9371689208
1546,128836.05999922703
2518,168614.79422827854
2347,160529.2096975889
783,214015.44851511263
1322,51560.7280222458
194,86748.90572536373
1770,286072.1351570159
2143,155309.2599684739
1229,209985.58055781768
511,289663.9368335687
46,227694.84710997288
1348,158580.5913585738
2465,205831.37409604373
387,243400.92756606665
873,215743.58423124446
1918,128487.04635284393
2764,242183.23456045747
2184,128908.21275529264
934,148425.0012481057
1920,138258.91680985797
2631,158264.3454987649
1768,783932.6180477762
2040,125020.2952062723
1749,215063.9452977957
834,242814.18480401792
1457,227630.14443268333
79,125455.312085342
2302,130676.62147748147
1817,146446.2669095196
2755,232744.55265074119
359,176885.677539321
2059,120763.98810816735
2092,230095.43321926362
2516,234416.30203387563
150,117749.70766408248
1656,114277.50175274786
83,84848.73221893852
2411,179626.10211287852
795,84804.7438287042
2312,219034.6035372519
2917,104075.13896764204
1624,183722.9510162818
2215,350388.1986537759
1211,151009.8800448978
1485,159912.6645885937
1024,164058.44435346645
570,200893.22658651718
2874,142596.4251670846
700,135525.88447585393
2756,214528.97599445182
2022,176921.18157252404
583,241381.25805457524
2392,394362.92234582664
2424,181717.40520867202
212,94608.54537791641
736,128939.95051472627
1610,176175.98925694474
890,120432.70780958483
467,185359.02939094347
578,217429.37826864753
1747,197911.28875864128
1149,160024.56746004123
2758,258424.8475828844
857,141831.39665988693
2219,245593.1848448616
733,107733.93477306505
2909,113668.24314948534
1798,262441.93680815626
235,134903.36824461154
2366,123920.0032322008
1027,129799.30742864606
1195,143120.69911855302
1303,68635.90704432168
148,173887.1224408849
608,155121.5318266197
2515,210356.44337132038
821,265208.1966683546
2500,272519.93964710715
745,130930.92374394533
741,119212.42352406544
1611,100276.95623828558
2532,142673.38881419206
1081,226578.07123237965
1692,488360.8393513296
2520,179790.63421390744
276,117379.19532872691
1992,110337.39883091001
663,71764.64151339859
418,137298.21584326663
1733,187907.60027710642
2359,154741.14236759156
253,188880.8099604837
1518,179354.5557904732
2035,128908.7835749184
2919,88378.92439624421
1540,252569.7241894105
2120,153235.92344832956
1674,174146.7536703584
256,153826.93936613807
2361,126257.96363268183
978,93127.18416232152
2280,154172.8207905878
2095,217535.90113092362
1709,340313.3341975273
2801,252999.77340703263
1246,121515.05664282717
2373,103224.18468561584
1055,292542.8222848611
2017,131420.2115927172
1099,261753.5223662638
1344,100039.06821695954
835,186824.80063492217
1117,227728.72275517663
2043,102665.3506117025
2085,143261.62596917
410,155135.66606428337
2650,110623.14242377561
2867,176976.24287590611
1668,120106.82192197017
1161,178136.70045526547
2122,174937.08756381122
2539,157750.91527711117
1047,136022.81748715794
1445,125273.82624997388
541,132962.12807470193
569,222702.64849496336
1276,121985.68447690809
918,147308.35546723058
326,167428.36693388142
1936,127749.51670354528
895,102578.92826231339
257,156811.0535282822
1241,174043.33655619857
1545,127673.73371558031
1189,171508.2678415181
270,150160.99598324954
2066,186305.0864955155
693,118586.85170791895
1259,128388.02170871045
2916,147402.7327849676
2321,267300.4246422978
1977,72585.99734809705
1895,144950.99526476653
1240,163481.9183345492
85,153483.3691767016
1823,123775.9182964932
825,307638.137637663
110,236423.4500758124
697,115891.41425167843
2297,121342.45923449508
1231,136510.12383764904
1355,149103.90426360804
968,345445.382018636
584,222954.78684995975
1315,124018.58959941998
1606,148558.89915411783
206,98863.8158768023
1685,381681.1984880222
2016,143658.72510039413
869,206289.23358252324
2135,132489.15713293123
2346,181975.88141750655
2430,230645.62508736996
2198,89947.62884244771
2652,115570.34289605665
27,123439.86027798423
241,173175.4601066731
906,116202.63943166388
1506,122789.76341328217
2098,392209.8142167353
1435,228309.57414976254
2213,133894.53335118262
1274,137698.89361888758
743,45805.41620013639
1737,202959.16281437836
2797,277364.9926530209
2185,79840.69670291853
58,176738.00351171015
830,205221.74897107104
808,104688.17258712869
680,150306.50420593642
1153,111246.81249095923
1291,119228.36548964005
1818,127976.04593057741
2161,189892.8815801036
1883,127003.36903320519
350,386802.8237824619
2473,148737.77123669267
295,198501.90399928528
293,162185.39732406402
859,129649.77503294499
288,63894.46474086492
1578,153542.29473431705
102,187417.22609752198
2831,132176.59156008493
1030,157173.8738447812
2551,146046.61591994675
1286,147221.58368767638
958,326200.82278032735
776,138914.4889204476
72,234035.80517149917
2263,252862.68070356228
1866,167128.4859384856
